Actvitiy,x,y,z,Cluster,Activity_raw,Cluster_Name
3,0.0190091554816619,-0.0070547540670048,0.0325110904030409,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
3,0.0820864464612883,-0.0711261165687127,0.0181646402862541,2,Dancing,Cluster 2: Low-Actvitiy / Occupation
3,0.0008918675169082,-0.0006098362958276,0.0086751609830367,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
3,0.02770773969364,-0.0294522480324524,-0.0057796539163528,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,0.0277545045423098,-0.0092683379784274,-0.0238555479804815,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,0.0157984573287533,0.020164769625271,-0.0043195633991528,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
4,0.0476815219248572,-0.0162078153353593,-0.0443312507044837,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,0.0437267843872865,-0.0244615883880146,-0.0293503583343037,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,0.0492107390720911,-0.0120772864804085,-0.0314344229474858,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,0.0257194734000854,-0.0153494204699078,-0.0152983407967483,6,Dancing,Cluster 6: Low-Actvitiy / Home Activities
4,-2.026086828587956e-07,2.997183944394934e-06,-1.0763858685408877e-06,8,Dancing,Cluster 8: Low-Actvitiy / Home Activities
4,0.0345761395328131,-0.0003482353243343,-0.0163518921612886,6,Fishing & Hunting,Cluster 6: Low-Actvitiy / Home Activities
4,0.0659750111376425,-0.0627444494979662,-0.0302029505741674,2,Fishing & Hunting,Cluster 2: Low-Actvitiy / Occupation
4,0.0250966353126346,-0.0283396816375336,-0.0175987644626536,6,Fishing & Hunting,Cluster 6: Low-Actvitiy / Home Activities
4,0.0183254590695929,-0.0015390194814105,-0.0109799842396065,8,Fishing & Hunting,Cluster 8: Low-Actvitiy / Home Activities
4,0.0720476362965625,-0.0435608554351176,-0.0425157657721982,2,Fishing & Hunting,Cluster 2: Low-Actvitiy / Occupation
4,0.0882178781997392,-0.0645076325684768,-0.0685067883834871,2,Fishing & Hunting,Cluster 2: Low-Actvitiy / Occupation
4,0.0018303815604944,-0.0004318171031733,-0.002455961983831,8,Fishing & Hunting,Cluster 8: Low-Actvitiy / Home Activities
4,0.0257289609830432,-0.0168421179461573,-0.0196377768989128,6,Fishing & Hunting,Cluster 6: Low-Actvitiy / Home Activities
4,0.0080090317665679,-0.0085610835385973,-0.0061023298423764,8,Fishing & Hunting,Cluster 8: Low-Actvitiy / Home Activities
4,0.007273192352737,-0.0099911844774282,-0.0049725872103797,8,Fishing & Hunting,Cluster 8: Low-Actvitiy / Home Activities
4,0.0877431661984571,-0.0536504852709353,-0.0666880716648991,2,Fishing & Hunting,Cluster 2: Low-Actvitiy / Occupation
4,0.000768256894359,-0.0014677153922273,-0.0008528386904777,8,Fishing & Hunting,Cluster 8: Low-Actvitiy / Home Activities
4,0.0739178768833442,-0.0431578721057102,-0.0444463155312272,2,Home Activities,Cluster 2: Low-Actvitiy / Occupation
4,2.4873926219825654e-07,2.7652385154202853e-06,-7.112813974171234e-06,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0196110033852403,-0.0224680481728009,-0.0145007942069628,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0764305319875529,-0.0214156984403133,-0.01130330236794,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0330257516430527,-0.036611475679576,-0.0246285130293517,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0338774417640549,-0.0260034617901108,-0.0253365633033701,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,1.4252855289519575e-05,0.0001965120405546,-0.000501642058797,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,1.4252855289519575e-05,0.0001965120405546,-0.000501642058797,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0491922865892046,-0.0083265434669025,-0.0389246052335042,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0106791784094849,-0.0107583708933119,-0.0082769203730419,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0159658390678977,0.0043977661453923,-0.0071164591531363,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0273075248263992,-0.0262587976606542,-0.0030817890978574,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,-4.112254881803397e-07,-2.0938170090862817e-06,-8.264792340899083e-07,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0094547403866395,0.0047248162500746,-0.0045926722191309,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.001224331844194,-0.0012418360642925,-0.0004388645997287,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,-4.582810673605094e-07,-1.859504120437823e-07,-4.6427774109828e-06,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0330196171566148,-0.0420447001591655,-0.0225711448249783,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.001392003535056,-0.0017950575730003,-0.0020486042608698,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,-9.018491317719276e-07,-3.579363435988545e-06,1.5937574296639569e-06,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.04589785818885,-0.0272989389913051,-0.0207884516801207,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0271968385203812,-0.0347730334948203,-0.0173886026735274,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0125294228965068,-0.0110119518347205,-0.0023150961276074,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0115026199990464,-0.0078140602267992,0.0094215847301343,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0171652326210569,-0.0063742612581698,-0.014283993590296,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
5,0.0326883398457092,-0.0168049140022217,-0.0230050499061444,6,Home Activities,Cluster 6: Low-Actvitiy / Home Activities
5,0.0011282878060983,0.0001602633418774,-0.0003731762220947,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.0083120191294157,-0.0100055029591587,-0.0022803801943569,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.0093438543923728,-0.0046634366058577,-0.0041472233029183,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.018234913557693,-0.0130357033606881,-0.000369665921153,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.0,0.0,0.0,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.00842489214907,-0.0121544597177042,-0.004232433253724,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.0134002807141521,-0.0165812667463727,-0.0080484596573772,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,0.000990093188227,-0.0016601949477113,-0.0011063404218723,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
6,1.0724542401049426e-06,3.307795574968653e-06,-4.133382776461879e-06,8,Home Activities,Cluster 8: Low-Actvitiy / Home Activities
7,0.0299218724631325,-0.0310299963831283,-0.0152540887763066,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.0162582691148779,-0.0113853609652266,0.0003814644152304,8,Home Repair,Cluster 8: Low-Actvitiy / Home Activities
7,0.026716049915507,-0.0261800297531136,-0.0128506234474736,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.0240975761263596,-0.0238153213998888,-0.0095375732530841,6,Home Repair,Cluster 6: Low-Actvitiy / Home Activities
7,0.0797416026667958,-0.0411974294082035,-0.0259310138415088,2,Home Repair,Cluster 2: Low-Actvitiy / Occupation
