Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
65,Conditioning Exercise,"Resistance (weight) training, squats, deadlift, slow or explosive effort",2,0.18270671310312253,-0.09186383042705731,0.03127671327810196,0.18270671310312253,-0.09186383042705731
66,Conditioning Exercise,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",0,0.05547516536989133,0.0029486325135890195,0.06246619792331591,0.05547516536989133,0.0029486325135890195
67,Conditioning Exercise,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training",0,0.05359175242909958,0.004465847825806435,0.07281140279352964,0.05359175242909958,0.004465847825806435
69,Conditioning Exercise,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",0,0.0918400537848625,-0.00221637600425659,0.05017809239835633,0.0918400537848625,-0.00221637600425659
70,Conditioning Exercise,Kettle bell swings,4,-4.0007050021717747e-07,-4.702685887452026e-06,-7.834749537341708e-06,-4.0007050021717747e-07,-4.702685887452026e-06
73,Conditioning Exercise,"Health club exercise, conditioning classes",0,0.06981611166192979,0.0323538486196634,0.028141275167669403,0.06981611166192979,0.0323538486196634
77,Conditioning Exercise,"Jumping rope, Digi-Jump Maching, 120 jumps/minute",4,0.03445746492250389,-0.0013449862963027656,0.02503042732869768,0.03445746492250389,-0.0013449862963027656
85,Conditioning Exercise,"Ski ergometer, cross country, double poling, slow to moderate speed",2,0.14970788212165284,-0.08608944194250552,0.10682428881968996,0.14970788212165284,-0.08608944194250552
88,Conditioning Exercise,"Slimnastics, jazzercise",4,4.4611184292294335e-08,-5.6923278645386545e-06,-1.0246053536379184e-05,4.4611184292294335e-08,-5.6923278645386545e-06
89,Conditioning Exercise,"Stretching, mild",4,0.005131915505929786,-0.003133495227755624,-0.001937667103312145,0.005131915505929786,-0.003133495227755624
90,Conditioning Exercise,"Pilates, traditional, mat",4,0.016538952000052395,0.022162708959336603,-0.003203940596717152,0.016538952000052395,0.022162708959336603
92,Conditioning Exercise,"Pound, combination of Pilates and body movements with drumming",4,0.03463937174460619,0.019525003040802794,-0.00441623340437408,0.03463937174460619,0.019525003040802794
93,Conditioning Exercise,"Pole dancing, exercise class",0,0.12119825194654887,0.07354783342915217,0.04202661690635927,0.12119825194654887,0.07354783342915217
94,Conditioning Exercise,"Teaching exercise classes (e.g., aerobic, water)",0,0.10191780402355467,0.06192372423882253,0.0409670708752678,0.10191780402355467,0.06192372423882253
95,Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise",0,0.10203436410175849,0.040024806117767486,0.044258673002047104,0.10203436410175849,0.040024806117767486
96,Conditioning Exercise,"Therapeutic exercise ball, Fitball exercise, high intensity",0,0.13478869946410907,0.017696737053344232,0.08169821485869652,0.13478869946410907,0.017696737053344232
98,Conditioning Exercise,"Arm Ergometer, hand bike, 15W",4,0.04682416383123411,0.0062546400464941025,0.024653760908618167,0.04682416383123411,0.0062546400464941025
99,Conditioning Exercise,"Arm Ergometer, hand bike, 25-30W",0,0.060795566624152905,-0.006846495374276326,0.04592305467536212,0.060795566624152905,-0.006846495374276326
100,Conditioning Exercise,"Arm Ergometer, hand bike, 45W",0,0.05396333300194486,0.007236743486825318,0.02840729864599326,0.05396333300194486,0.007236743486825318
102,Conditioning Exercise,"Water aerobics, water calisthenics, water exercise",0,0.07989868374585175,0.06163124549825129,0.055291475499250516,0.07989868374585175,0.06163124549825129
104,Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort",2,0.20826806990662533,-0.08999937216726131,-0.045700182606586204,0.20826806990662533,-0.08999937216726131
105,Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate",2,0.17370530729018027,-0.06764408481097842,0.03341224655741355,0.17370530729018027,-0.06764408481097842
106,Conditioning Exercise,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous",2,0.14698540362078474,-0.03349771208846865,0.046117143205115944,0.14698540362078474,-0.03349771208846865
107,Conditioning Exercise,"Yoga, Hatha",4,0.04350211942017592,0.020831768678786396,-0.00683939431256907,0.04350211942017592,0.020831768678786396
