Actvitiy,Description
Fishing & Hunting,"Hunting, large game from a hunting stand, limited walking"
Fishing & Hunting,"Hunting large game from a car, plane, or boat"
Fishing & Hunting,"Hunting, duck, wading"
Fishing & Hunting,"Hunting flying fox, squirrel"
Fishing & Hunting,"Hunting, general"
Fishing & Hunting,"Hunting, pheasants or grouse (Taylor Code 680)"
Fishing & Hunting,Hunting birds
Fishing & Hunting,"Hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)"
Fishing & Hunting,"Hunting pigs, wild"
Fishing & Hunting,"Trapping game, general"
Fishing & Hunting,Hunting - hiking with hunting gear
Fishing & Hunting,"Pistol shooting or trap shooting, standing"
Fishing & Hunting,"Rifle exercises, shooting, lying down"
Fishing & Hunting,"Rifle exercises, shooting, kneeling or standing"
Fishing & Hunting,"Foraging, 0-9.9kg backpack"
Fishing & Hunting,"Foraging, 10-15kg backpack"
Fishing & Hunting,"Sitting in boat, passenger"
Fishing & Hunting,Standing in boat
Fishing & Hunting,"Activities in a boat, lifting, lowering"
Home Activities,"Cleaning, sweeping carpet or floors, general"
Home Activities,"Cleaning, sweeping, slow, light effort"
Home Activities,"Cleaning, sweeping, fast, moderate effort"
Home Activities,"Cleaning  heavy or major (e.g., wash car, clean garage), moderate effort"
Home Activities,"Cleaning, mopping, standing, moderate effort"
Home Activities,"Cleaning windows, washing windows, general"
Home Activities,"Mopping, standing, light effort"
Home Activities,"Polishing floors, standing, walking slowly, using electric polishing machine"
Home Activities,"Multiple household tasks all at once, light effort"
Home Activities,"Multiple household tasks all at once, moderate effort"
Home Activities,"Multiple household tasks all at once, vigorous effort"
Home Activities,"Cleaning, house or cabin, general, moderate effort"
Home Activities,"Dusting or polishing furniture, general"
Home Activities,"Kitchen activity, general, (e.g., cooking, washing dishes, cleaning up) moderate effort"
Home Activities,"Cleaning, general (straightening up, changing linen, carrying out trash), light effort"
Home Activities,"Wash dishes, standing or in general (not broken into stand/walk components)"
Home Activities,"Wash dishes, clearing dishes from table, walking, light effort"
Home Activities,"Vacuuming, general, moderate effort"
Home Activities,"Butchering animals, small"
Home Activities,"Butchering animals, large, vigorous effort"
Home Activities,"Cutting and smoking fish, drying fish or meat"
Home Activities,"Tanning hides, general"
Home Activities,"Cooking or food preparation, moderate effort"
Home Activities,"Cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances,"
Home Activities,"Cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances,  light effort"
Home Activities,"Cooking or food preparation, walking"
Home Activities,"Serving food, setting/cleaning table, implied walking or standing"
Home Activities,Feeding household animals
Home Activities,"carrying groceries, on level ground, walking"
Home Activities,"Putting away groceries (e.g. carrying groceries, carrying packages)"
Home Activities,Carrying groceries upstairs
Home Activities,Cooking Indian bread or other food on an outside stove
Home Activities,Food shopping with or without a grocery cart; carrying a 10 lb bag; standing or walking
Home Activities,"Non-food shopping, with or without cart, standing or walking"
Home Activities,Ironing
Home Activities,"Knitting, sewing, light effort, wrapping presents, sitting"
Home Activities,Sewing with a machine
Home Activities,"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand,  implied standing,"
Home Activities,"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand,  implied standing,  light effort"
Home Activities,"Laundry, fold or hang clothes, sitting"
Home Activities,"Laundry,  moderate effort"
Home Activities,"Laundry,  putting away clothes, gathering clothes to pack, putting away laundry, implied walking"
Home Activities,"Making bed, changing linens"
Home Activities,"Maple syruping/sugar bushing (including carrying buckets, carrying wood)"
Home Activities,"Moving furniture, household items, carrying boxes"
Home Activities,"Moving, lifting light loads"
Home Activities,Organizing a room
Home Activities,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort"
Home Activities,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort"
Home Activities,"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort"
Home Activities,"Sweeping garage, sidewalk, or outside house"
Home Activities,"Standing, packing/unpacking boxes, occasional lifting lightweight household items, loading or unloading items into a car,"
Home Activities,"Standing, packing/unpacking boxes, occasional lifting lightweight household items, loading or unloading items into a car,  moderate effort"
Home Activities,"Implied walking, putting away household items, moderate effort"
Home Activities,Watering  plants
Home Activities,Building a fire inside
Home Activities,"Moving household items upstairs, carrying boxes or furniture"
Home Activities,"Standing, light effort tasks (pump gas, change light bulb, etc.)"
Home Activities,"Walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc."
Home Activities,"Sitting, playing with child(ren), light effort, only active periods"
Home Activities,"Standing, playing with child(ren), light effort, only active periods"
Home Activities,"Walking/running, playing with child(ren), moderate effort, only active periods"
Home Activities,"Walking/running, playing with child(ren), vigorous effort, only active periods"
Home Activities,"Walking and carrying small child, child weighing 15 lbs or more"
Home Activities,"Walking and carrying small child, child weighing less than 15 lbs"
Home Activities,"Standing, holding child"
Home Activities,"Child care, infant, general"
Home Activities,"Child care: sitting or kneeling, dressing, bathing, grooming, feeding, occasional lifting of child-light effort, general"
Home Activities,"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort"
Home Activities,Reclining with baby
Home Activities,"Breastfeeding, sitting or reclining"
Home Activities,"Sit, playing with animals, light, only active period"
Home Activities,"Stand, playing with animals, light effort, only active periods"
Home Activities,"Walk or run, playing with animals, general, light effort, only active periods"
Home Activities,"Walk/run, playing with animals, moderate effort, only active periods"
Home Activities,"Walk/run, playing with animals, vigorous effort, only active periods"
Home Activities,"Standing, bathing dog"
Home Activities,"Animal care, household animals, general"
Home Activities,"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods"
Home Activities,"Elder care, disabled adult, feeding, combing hair, light effort, only active periods"
Home Activities,Handwashing
Home Repair,Airplane repair
Home Repair,Automobile body work
Home Repair,"Automobile repair, light or moderate effort"
Home Repair,"Carpentry, general, workshop (Taylor Code 620)"
Home Repair,"Carpentry, outside house, (Taylor Code 640)"
Home Repair,"Carpentry, outside house, building a fence"
Home Repair,"Carpentry, finishing, varnishing, or refinishing cabinets or furniture"
Home Repair,"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort"
Home Repair,"Carpentry, home remodeling tasks, moderate effort"
Home Repair,"Carpentry, home remodeling tasks, light effort"
Home Repair,"Caulking, chinking log cabin"
Home Repair,"Caulking, except log cabin"
Home Repair,Cleaning gutters
Home Repair,Excavating garage
Home Repair,Hanging storm windows
Home Repair,Hanging sheet rock inside house
Home Repair,Hammering nails
Home Repair,"Home repair, general, light effort"
Home Repair,"Home repair, general, moderate effort"
Home Repair,"Home repair, general, vigorous effort"
Home Repair,Laying or removing carpet
Home Repair,Laying tile or linoleum
Home Repair,Repairing appliances
Home Repair,"Painting, outside home (Taylor Code 650)"
Home Repair,"Painting inside house, wallpapering, scraping paint"
Home Repair,Painting (Taylor Code 630)
Home Repair,"Plumbing, general"
Home Repair,Put on and removal of tarp – sailboat
Home Repair,Roofing
Home Repair,Sanding floors with a power sander
Home Repair,Scraping and painting sailboat or powerboat
Home Repair,Sharpening tools
Home Repair,Spreading dirt with a shovel
Home Repair,Washing and waxing hull of sailboat or airplane
Home Repair,Washing and waxing car
Home Repair,"Washing fence, painting fence, moderate effort"
Home Repair,"Wiring, tapping-splicing"
Inactivity,Lying quietly and watching television
Inactivity,"Lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)"
Inactivity,"Sit, watch television"
Inactivity,"Sitting quietly, general"
Inactivity,"Sitting quietly, fidgeting, general, fidgeting hands"
Inactivity,"Sitting, fidget feet"
Inactivity,Sitting smoking
Inactivity,"Sitting, listening to music (not talking or reading) or watching a movie in a theater"
Inactivity,"Sitting at a desk, resting head in hands"
Inactivity,Sleeping
Inactivity,Standing quietly (standing in a line)
Inactivity,Standing (fidgeting)
Inactivity,Standing watching television
Inactivity,"Reclining, writing"
Inactivity,"Reclining, talking or talking on phone"
Inactivity,"Reclining, reading"
Inactivity,Meditating
Lawn & Garden,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to- moderate effort"
Lawn & Garden,"Carrying, loading or stacking wood, loading/unloading or carrying lumber, moderate effort"
Lawn & Garden,"Chopping wood, splitting logs, moderate effort"
Lawn & Garden,"Chopping wood, splitting logs, vigorous effort"
Lawn & Garden,"Clearing light brush, thinning garden, moderate effort"
Lawn & Garden,"Clearing land, haul brush, undergrowth, or ground, vigorous effort"
Lawn & Garden,"Digging sandbox, shoveling sand"
Lawn & Garden,"Digging, spading, filling garden, composting, light-to-moderate effort"
Lawn & Garden,"Digging, spading, filling garden, composting (Taylor Code 590)"
Lawn & Garden,"Digging, spading, filling garden, composting, vigorous effort"
Lawn & Garden,Driving tractor
Lawn & Garden,"Felling trees, large size"
Lawn & Garden,"Felling trees, small-medium size"
Lawn & Garden,"Gardening with heavy power tools, using chain saw, tilling a garden"
Lawn & Garden,"gardening, general"
